Gloss,Proto-Seediq,Tgdaya,Proto-Toda-Truku,Central Toda,Proto-Truku,Central Truku,Eastern Truku 
`\textsc{1pl.excl}',*yami,yami,*yami,yami,*yami,yami,yami
`\textsc{1pl.incl}',*ita,ita,*ita,ita,*ita,ita,ita
`\textsc{1pl.nom.excl; 1pl.gen.excl}',*=nami,=nami,*=nami,=nami,*=nami,=nami,=nami
`\textsc{1pl.nom.incl; 1pl.gen.incl}',*=ta,=ta,*=ta,=ta,*=ta,=ta,=ta
`\textsc{1pl.obl.excl}',*mənan,,*mənan,mənan,*mənan,mənan,mənan
`\textsc{1pl.obl.incl}',*tənan,,*tənan,tənan,*tənan,tənan,tənan
`\textsc{1sg.gen}',*=mu,=mu,*=mu,=mu,*=mu,=mu,=mu
`\textsc{1sg.nom}',*=ku,=ku,*=ku,=ku,*=ku,=ku,=ku
`\textsc{1sg.nom}',*yaku,yaku,*yaku,yaku,*yaku,yaku,yaku
`\textsc{1sg.obl}',*kənan,kenan,*kənan,kənan,*kənan,kənan,kənan
`\textsc{2pl.nom; 2pl.gen}',*=namu,=namu,*=namu,=namu,*=namu,=namu,=namu
`\textsc{2pl.nom}',*yamu,yamu,*yamu,yamu,*yamu,yamu,yamu
`\textsc{2pl.obl}',*munan,munan `1sg.obl',*munan,munan,*munan,munan,munan
`\textsc{2sg.nom; 2sg.gen}',*=su,=su,*=su,=su,*=su,=su,=su
`\textsc{2sg.nom}',*isu,isu,*isu,isu,*isu,isu,isu
`\textsc{2sg.obl}',*sunan,sunan,*sunan,sunan,*sunan,sunan,sunan
`\textsc{3pl.gen}',*=dəha,=daha,*=dəha,=dəha,*=dəha,=dəha,=dəha
`\textsc{3pl.nom}',*dəhəya,deheya,*dəhiya,dəhiya,*dəhiya,dəhiya,dəhiya
`\textsc{3pl.obl}',*dəhəyaan,,*dəhəyaan,dəhəyaan,*dəhəyaan,dəhəyaan,dəhəyaan
`\textsc{3sg.gen}',*=na,=na,*=na,=na,*=na,=na,=na
`\textsc{3sg.nom}',*hiya,heya,*hiya,hiya,*hiya,hiya,hiya
`\textsc{3sg.obl}',*həyaan,,*həyaan,həyaan,*həyaan,həyaan,həyaan
`a bit; a little',*tikuh,tikuh,*tikuh,tikuh,*cikuh,cikuh,
`a few; some',*duma,duma,*duma,duma,*duma,duma,duma
`a long time',*bəsiyaq,busiyaq,*bəsiyaq,bəsiyaq,*bəsiyaq,bəsiyaq,bəsiyaq
`above; on top of',*babaw,bobo,*babaw,babaw,*babaw,babaw,babaw
`above; on top of',*baraw,baro,*baraw,baraw,*baraw,baraw,baraw
`alive',*məudus,muudus,*məudus,mudus,*məudus,mudus,məudus
`all',*kana,kana,*kana,kana,*kana,kana,kana
`Alocasia',*bərayaw,burayo,*bərayaw,bərayaw,*bərayaw,bərayaw,bərayaw
`alone; only; self',*nanak,nanaq,*nanak,nanak; nanaq,*nanak,nanaq,nanak
`animal foot',*papak,papak,*papak,papak,*papak,papak,papak
`animal trail',*tuqir,tuqin,*tuqir,tuqar,*tuqir,tuqir,tuqir
`animal; wild game',*camat,camac,*camat,camac,*samat,samac,samat
`arrow',*raqit,raqic,*raqit,raqic,,,
`ashes',*qəbulit,qubulic,*qəbulit,qəbulic,*qəbulit,qəbulic,qəbulit
`assorted; many kinds of',*ləməlamu,mululamu,*ləməlamu,ləməlamu,*mələlamu,mələlamu,ləməlamu
`axe',*puru,puru,*puru,puru,*pupu,pupu,pupu
`bad',*naqih,naqah,*naqih,naqah,*naqih,naqih,naqih
`bamboo shoots',*ləxi,lexi,*ləxi,ləxi,*ləxi,ləxi,ləxi
`bamboo tool for removing bark for ramie',*gəsak,gesak,*gəsak,usak,*gəsak,gisak,gəsak
`banana',*bələbul,bulebun,*bələbul,bələbul,*bələbul,bələbul,bələbul
`basket',*rawa,rawa,*rawa,rawa,*rawa,rawa,rawa
`beans',*bayluh,beluh,*bayluh,beyluh,*bayluh,beyluh,beyluh
`bear',*sumay,sume,*kumay,kumay,*kumay,kumay,kumay
`beard; facial hair',*ŋudus,ŋudus,*ŋudus,,*ŋudus,,ŋudus
`belly',*nəbuyas,nubuyas,*nəbuyas,nəbuyas,*nəbuyas,buyas,nəbuyas
`between',*cəkəcəka,cukuceka,*cəkəcəka,cəkəcəka,*səka,səka,səka
`big',*paru,paru,*paru,paru,*paru,paru,paru
`bird',*qəbəhəni,qubeheni,*qəbəhəni,qəbəhəni,*qəbəhəni,qəbəhəni,qəbəhəni
`bird',,,*qəduda,qəduda,*qəduda,qəduda,
`black',*məqalux,muqalux,*məqalux,məqalux,*məqalux,məqalux,məqalux
`blind',*məpudu,mubudu,*məpudu,məpudu,*məpudu,məpudu,(məətuŋ)
`blood',*dara,dara,*dara,dara,*dara,dara,dara
`blowfly',*raŋaw,ruŋedi raŋo,*raŋaw,raŋaw,,,
`boar',*bawyak,boyak,*bawyak,bowyak,*bawyak,bowyak,bowyak
`board; plank',*qətinuh,qutinuh,*qətinuh,qətinuh,*qəcinuh,qəcinuh,qəcinuh
`body louse',*cumiq,cumiq,*cumiq,,*sumiq,,sumiq
`bone',*buut,buuc,*buut,,*buut,,buut
`border; line',*ayus,ayus,*ayus,ayus,*ayus,ayus,ayus
`bow and arrow',*budi,budi,*budi,budi,*buɟi,buɟi,buɟi
`bow',*bəhəniq,beheniq,*bəhəniq,bəhəniq,*bəhəniq,bəhəniq,bəhəniq
`box; trunk',*kulu,kulu,*kulu,,*kulu,kulu,kulu
`breasts',*nunuh,nunuh,*nunuh,nunuh,*unuh,unuh,unuh
`bridge',*hakaw,hako,*hakaw,hakaw,*hakaw,hakaw,hakaw
`bright; beautiful; smooth',*mədəhəriq,mudeheriq,*mədəhəriq,mədəhəriq,*mədəhəriq,mədəhəriq,mədəhəriq
`broad; wide',*gəlabaŋ,,*ləlabaŋ,ləlabaŋ,*ləlabaŋ,ləlabaŋ,ləlabaŋ
`broad; wide',*gəlahaŋ,gulahaŋ,,,,,
`broken; spoiled; rotten; gooey',*məsətəmaq,musutemaq,*məsətəmaq,sətəmaq,*məsətəmaq,,məsətəmaq
`buck; bull',*balas,balas,*balas,balas,*balas,balas,balas `to mate'
`camphor tree',*cakus,cakus,*cakus,cakus,*sakus,sakus,sakus
`cane',*hukut,hukuc,*hukut,hukuc,*hukut,hukuc,hukut
`canine; fang',*waqit,waqic,*waqit,waqic,*waqit,waqic,waqit
`centipede',*pəsigak,pusirak,*pəsigak,,*pəsigak,,pəsigak
`charcoal',*bagah,bagah,*bagah,bawah,*bagah,bagah,(baŋah)
`cherry blossoms',*sənəgil,sunegin,*sənəgil,sənuwil,*sənəgil,sənəgil,sənəgil
`chest cover',*tawrah,torah,*tawrah,towrah,*tawrah,towrah,towrah
`chest',*bərah,berah `front',*bərah,bərah,*bərah,bərah,bərah
`chicken coop',*kadu,kadu,*kadu,kadu,*kadu,kadu,kadu
`chicken',*rawdux,rodux,*rawdux,rowdux,*rudux,rudux,rudux
`child',*laqi,laqi,*laqi,laqi,*laqi,laqi,laqi
`chili',*ucik,ucik,*ucik,ucik,*usik,usik,usik
`Chinese Moccasin',*mələhay,mulehe,*mələhay,ləməhay,*mələhay,mələhay,mələhay
`close; near',*dalih,,*dalih,dalih,*dalih,dalih,dalih
`close; near',*daliŋ,daliŋ,,,,,
`cloth bag',*lubuy,lubuy,*lubuy,lubuy,*lubuy,lubuy,lubuy
`cloth',*pala,pala,*pala,pala,*pala,pala,pala
`clothes',*lukus,lukus,*lukus,lukus,*lukus,lukus,lukus
`clouds; fog',*ruluŋ,,*ruluŋ,ruluŋ,*ruluŋ,ruluŋ,ruluŋ
`cold (thing)',*tələətu,tuleetu,*tələətu,tələtu,*tələətu,tələtu,mətələətu
`cold (weather)',*məsəkuy,musekuy,*məsəkuy,məsəkuy,*məsəkuy,məsəkuy,məsəkuy
`cooked (not raw)',*məhada,mahada,*məhada,məhada,*məhada,məhada,məhada
`cooked rice',*idaw,ido,*idaw,idaw,*idaw,idaw,idaw
`corn; maize',*sərəqəmu,suruqemu,*səqəmu,(ləhəŋay),*səqəmu,səqəmu,səqəmu
`cow; bull; cattle',*dapa,dapa,*dapa,dapa,*dapa,dapa,(kaciŋ)
`crab',*karaŋ,karaŋ,*karaŋ,kəraraŋ,*kəmaraŋ,kəmaraŋ,karaŋ
`crack; hole',*bəliŋ,beliŋ,*bəliŋ,bəliŋ,*bəliŋ,bəliŋ,bəliŋ
`crooked; diagonal',*məridih,muridih,,,,,
`crooked; diagonal',*məridil,muridin,*məridil,məridil,*məriɟil,məriɟil,məriɟil
`crow',*təyaquŋ,tuyaquŋ,*təyaquŋ,tiyaquŋ,*ciyaquŋ,ciyaquŋ,ciyaquŋ
`culture; law',*gaya,gaya,*gaya,waya,*gaya,gaya,gaya
`dark',*mənəkuuŋ,munukuuŋ,*mənəkuuŋ,mənəkuuŋ,*mənəkuuŋ,mənəkuuŋ,mənəkuuŋ
`daughter-in-law',*ina,ina,*ina,ina,*ina,ina,ina
`day; time',*ali,ali,*diyax,diyax,*ɟiyax,ɟiyax,ɟiyax
`daytime',*diyan,diyan,*diyan,diyan,*ɟiyan,ɟiyan,ɟiyan
`descendants; offspring',*lutut,lutuc,*lutut,lutuc,*lutut,lutuc,lutut
`diligent',*mədərumut,mudurumuc,*mədərumut,mədərumuc,*mədərumut,dəmuruc,mədərumut
`dog',*huliŋ,huliŋ,*huliŋ,huliŋ,*huliŋ,huliŋ,huliŋ
`doorway',*rəhəŋun,reheŋun,*rəhəŋun,rəhəŋun,*rəhəŋun,rəhəŋun,rəhəŋun
`downslope; lower place',*hunat,hunac,*hunat,,*hunat,,hunat `south'
`downslope; lower place',*rahut,rahuc,*rahut,tərahuc,,,
`dream',*səpi,sepi,*səpi,səpi,*səpi,səpi,səpi
`droplet',*tudiq,tudiq,*tudiq,,*tuɟiq,,tuɟiq
`drunk',*bəsukan,busukan,*bəsukan,bəsukan,*bəsukan,bəsukan,bəsukan
`dry (AV)',*mədəŋu,mudeŋu,*mədəŋu,mədəŋu,*mədəŋu,mədəŋu,mədəŋu
`dry (LV)',*dəŋəan,duŋean,*dəŋaan,,*dəŋuan,,dəŋuan
`ear',*birat,birac,*birat,birac,*birat,birac,birat
`early morning',*caman,caman,*caman,caman,*saman `morning',saman `morning',saman `tomorrow'
`eaves',*baybay,bebe,*baybay,beybay,*baybay,beybay,(səbəsuk)
`eel',*tuya,tuya,*tuya,tuya,*tuya,tuya,(tuwil)
`egg',*baluŋ,baluŋ,*baluŋ,baluŋ,*baluŋ,baluŋ,baluŋ
`eight',*məsəpat,mumusepac,*məsəpat,məsəpac,*məsəpat,məsəpac,masəpat
`elbow',*hiqur,hiqun,*hiqur,hiqur,*hiqur,hiqur,hiqur
`elderly person; ancestor; old',*rudan,rudan,*rudan,rudan,*rudan,rudan,rudan
`enemy',*payis,payis,*payis,payis,*payis,payis,payis
`enough',*baka,baka,*baka,baka,*baka,baka,baka
`evening',*gəbian,bubian,*gəbian,ubian,*gəbian,gəbian,gəbian
`eye',*dawriq,doriq,*dawriq,dowriq,*dawriq,dowriq,dowriq
`face',*dəqəras,duqeras,*dəqəras,dəqəras,*dəqəras,dəqəras,dəqəras
`faeces',*quti,quti,*quti,quti,*quci,quci,quci
`far',*təhəya,teheya,*təhiyaq,təhiyaq,*təhiyaq,dəhiyaq,təhiyaq
`fat; stout',*qətəhur,qutehun,*qətəhur,qətəhur,*qətəhur,qətəhur,qətəhur
`father',*tama,tama,*tama,tama,*tama,tama,tama
"`feathers, wing'",*palit,palic,*palit,palic,*palit,palic,palit; (pahiŋ)
`female animal (mammals)',*gipu,gipu,*gipu,wipu,*gipu,,gipu
`fence (stone)',*hagat,harac,*hagat,hawac,*hagat,harac,hagat `queue'
`field (agriculture)',*qənəpahan,(neepah),*qənəpahan,qənəpahan,*qənəpahan,qənəpahan,qənəpahan
`fifty',*mərimal,muriman,*mərimal,mərimal,*mərimal,mərimal,mərimal
`finger',*təduliŋ,tuduliŋ,*təduliŋ,təluliŋ,*təduliŋ,təduliŋ,təluliŋ
`fingernail',*kukuh,kukuh,*kukuh,kukuh,*kukuh,kukuh,kukuh
`fire',*puniq,puniq,*puniq,puniq,*puniq; *tahut,puniq; (tahuc puniq),(tahut)
`fish trap',*kawbu,kobu,*kawbu,kowbu,*kawbu,kowbu,kowbu
`fish',*qəcurux,qucurux,*qəcurux,qəcurux,*qəsurux,qəsurux,qəsurux
`five',*rima,rima,*rima,rima,*rima,rima,rima
`flat basket; winnowing basket',*bə[t/l]uku,butuku,*bə[t/l]uku,bətuku,*bəluku,bəluku,
`flatland',*bərəənux,bureenux,*bərəənux,bərənux,*bərəənux,bərənux,bərəənux
`flower',*pəhəpah,pehepah,*pəhəpah,pəhəpah,*pəhəpah,pəhəpah,pəhəpah
`flying squirrel',*rapit,rapic,*rapit,rapic,*rapit,rapic,rapit
`food debris',*siŋas,siŋas,*siŋas,,*siŋas,siŋas,liŋas
`foot of the mountain',*dəriq,deriq,*dəriq,dəriq,*dəriq,,dəriq
`foot',*papak,papak,*qaqay,qaqay,*qaqay,qaqay,qaqay
`forehead',*kəduruk,kuduruk,*kəduruk,kəduruk,*pəŋəlux,pəŋəlux,pəŋəlux
`forest',*bəbuyu,bubuyu,*bəbuyu,bəbuyu,*bəbuyu,bəbuyu,bəbuyu
`Formosan Michelia',*səkadu,sukadus,*cəkacu,cəkacu,*səkasu,səkasu,səkasu
`four',*səpat,sepac,*səpat,səpac,*səpat,səpac,səpat
`fourty',*məsəpatul,musupatun,*məsəpatul,səpatul,*məsəpatul,məsəpatul,məsəpatul
`fragile',*məgipuh,mugipuh,*məripuh,məripuh,*məripuh,,məripuh
`friend',*daŋi,daŋi,*daŋi,daŋi,*daŋi,daŋi,daŋi `lover'
`friend',*dawin,,*dawin,,*dawin,,dawin `partner; darling (to man)'
`frog',*qəpatur,qupatun,*qəpatur,qəpatun,*qəpatur,qəpatur,qəpatur
`from',*kənədalax,kunudalax,*kənədadax,kənədadax,*kənədadax,kənədadax,kənədadax
`from',*pənəəyah,puneeyah,*pənəiyah,pənəiyah,*pənaah,paah,pənaah
`fruit',*həyi,heyi,*hiyi,hiyi,*hiyi,hiyi,hiyi
`full (after eating); satiated',*mətəŋi,muteŋi,*mətəŋi,mətəŋi,*mətəŋi,mətəŋi,mətəŋi
`fur; body hair',*ubal,uban,*ubal,ubal,*ubal,ubal,ubal
`gallbladder',*pahuŋ,pahuŋ,*pahuŋ,pahuŋ,*pahuŋ,pahuŋ,pahuŋ
`garnish; side dish',*damat,damac,*damat,damac,*damat,damac,damat
`gecko',*cilu,cilu,*cilu,cilu,*silu,silu,
`generous',*huway,huwe,*huway,huway,*huway,huway,huway
`go.pst; perfective marker',*wada,wada,*wada,wada,*wada,wada,wada
`goat; sheep',*mirit,miric,*mirit,miric,*mirit,miric,mirit
`god; spirit; ghost',*utux,utux,*utux,utux,*utux,utux,utux
`good',*malu,malu,*malu,malu,*malu,malu,malu
`granary',*rəpun,repun,*rəpun,rəpun,*rəpun,rəpun,rəpun
`grandfather',*baki,baki,*baki,baki `father-in-law' ,*baki,baki,baki
`grandmother',*payi,payi,*payi,payi `mother-in-law',*payi,payi,payi
`grass',*səpəriq,superiq,*səpəriq,səpəriq,*səpəriq,səpəriq,səpəriq
`grass',*sudu,sudu,*sudu,sudu,*sudu,sudu,sudu
`gray hair',*qudas,,*qudas,qudas,,,
`gray hair',*qudi,qudi,*qudi,,*quɟi,,quɟi
`green beans',*layan,layan,*layan,layan,*layan,layan,layan
`green',*məgəsama,mugusama,*məgəsama,məsama,*məgəsama,məgəsama,(məgəpaɟiq)
`Grey-cheeked fulvetta',*sisil,sisin,*sisil,sisin,*sisil,sisil,sisil
`ground; earth',*dəxəral,deheran,*dəxəral,dəxəral,*dəxəgal,dəxəgal,dəxəgal
`hair (on head)',*sənəunux,sunuunux,*sənəunux,sənunux,*sənəunux,sənəunux,sənəunux
`half; to halve',*cəka,ceka,*cəka,cəka,*səka,səka,səka
`half; to halve',*dəka,deka,*dəka,dəka,*dəka,dəka,dəka
`hand hoe',*parih ,parih,*parih ,parih,*parih,parih,
`hand',*baga,baga,*baga,bawa,*baga,baga,baga
`happy',*məqaras,muqaras,*məqaras,məqaras,*məqaras,məqaras,məqaras
`happy',*qərasan,qurasan,*qərasan,qərasan,*qərasan,qərasan,qərasan
`hard; difficult',*riqu,ruriqu,*riqu,rəriqu,*rəriqu,rəriqu,məsəriqu
`head louse',*quhiŋ,quhiŋ,*quhiŋ,quhiŋ,*quhiŋ,quhiŋ,quhiŋ
`head',*tunux,tunux,*tunux,tunux,*tunux,tunux,tunux
`heavy',*cəhədil,cehedin,*cəhədil,cəhədil,*səhəɟil,səhəɟil,səhəɟil
`hemp fiber',*nuqih,nuqah,*nuqih,nuqah; nuqih,*nuqih,nuqih,nuqih
`hips; buttocks',*sulay,sule `women's privates',*sulay,sulay,*sulay,sulay,sulay
`honeybee',*walu,walu,*walu,walu,*walu,walu,walu
`horn',*uruŋ,uruŋ,*uruŋ,uruŋ,*uruŋ,uruŋ,uruŋ
`horse',*dəmai,dumai,*dəmai,dəmai,*dəmai,dəmai,
`hot spring',*qəhədiŋ,qehediŋ,*qəhədiŋ,qəhədiŋ,*qəhəɟiŋ,qəhəɟiŋ,
`hot spring',*ulay,ule `a place with hot spring',*ulay,,*ulay,,ulay
`hot',*mətilux,mutilux,*mətilux,mətilux,*məcilux,məcilux,məcilux
`hot',,,,,*mətalux,mətalux,mətalux
`house fly',*rəŋədi,ruŋedi,*rəŋədi,rəŋədi,*rəŋəɟi,rəŋəɟi,rəŋəɟi
`house; home',*sapah,sapah,*sapah,sapah,*sapah,sapah,sapah
`how much (uncountable)',*kəhənu,kunehenu,*kəhənu,kəhənu,*kəhənu,kəhənu,kəhənu
`how much; how many (countable)',*piya,piya,*piya,piya,*piya,piya,piya
`how; in what way',*həmuya,humuwa,*həmuya,həmuya,*həmuya,həmuya,həmuya
`how',*huya,(huwa mesa),*səhuya,səhuya,*səhuya,səhuya,səhuya
`hundred',*kəbəkuy,kubekuy,*kəbəkuy,kəbəkuy,*kəbəkuy,kəbəkuy,kəbəkuy
`hungry',*məuray,muure,*məuray,muray,*məuray,məuray,məuray
`in front of; ahead',*bərah,berah,*bərah,bərah,*bərah,bərah,bərah
`insect',*kuwi,kuwi,*kuwi,kuwi,*kuwi,kuwi,kuwi
`inside',*ruma,turuma,*ruma,ruma,*ruwan,ruwan,ruwan
`intestines; guts',*iraq,iraq,*iraq,iraq,*iraq,iraq,iraq
`juice',*bəyuq,beyuq,*biyuq,biyuq,*biyuq,biyuq,biyuq
`just now; today',*sawni,soni,*sawni,sowni,*suni,suni,suni
`k.o. ant',*uyah,,*uyah,uyah,,,
`k.o. bean',*sukay,suke,*sukay,sukay,*sukay,sukay,sukay
`lake; sea',*gəciluŋ,ruciluŋ,*gəciluŋ,uciluŋ,*gəsiluŋ,gəsiluŋ,gəsiluŋ
`late evening; early night',*kəəman,keeman,*kəəman,kəman,*kəəman,kəəman,kəəman
`lazy',*məbəsərux,mubuserux,*məbəsərux,məbəsurux,*məbəsərux,bəsərux,
`leaves',*wasaw,waso,*wasaw,wasaw,*wasaw,wasaw,rənabaw
`leech',*wili,wili,*wili,wili,*wili,wili,wili
`left over',*məsəŋari,musuŋari,*məsəŋari,məsəŋari,*məsəŋari,məsəŋari,məsəŋari
`left',*igi,,*igi,iwi,*igi,igi,
`left',*iril,irin,*iril,iril,*iril,,iril
`leg',*bətəriq,buteriq,*bətəriq,bətəriq,*bətəriq,bətəriq,bətəriq
`leopard',*rəkəlit,rukelic,*rəkəlit,rəkəlic,*rəkəlit,rəkəlic,rəkəlit
`light (not heavy)',*cəlawkah,culokah,*cəlawkah,cəlowkah,*səlukah,səlukah,(ləhəkah)
`light',*[l/r]ədax,ledax,*rədax,rədax,*rədax,rədax,rədax
`lips',*pədahuŋ,pudahuŋ,*pədahuŋ,pədahuŋ,*pədahuŋ,pədahuŋ,pədahuŋ
`liver',*rumul,rumun,*rumul,rumul,*rumul,rumul,rumul
`lizard',*[k]əlaybaŋ,qulebaŋ,*[k]əlaybaŋ,cəleybaŋ,*[k]əlaybaŋ,kəleybaŋ,qəleybaŋ
`log',*qəhuni,quhuni,*qəhuni,qəhuni,*qəhuni,qəhuni,qəhuni
`loincloth',*təhawak,tahawak,*təhawak,təhawak,*təhawak,təhawak,
`long (thing)',*bəbaraw,bubaro,*bəbaraw,bəbaraw,*bəbaraw,bəbaraw,bəbaraw
`love',*kuxul,kuxun,*kuxul,kuxul,*kuxul,kuxul,kuxul
`low; short (height)',*lələbu,lulebu,*lələbu,lələbu,*lələbu,lələbu,lələbu
`lungs',*baraq,baraq,*baraq,baraq,*baraq,baraq,baraq
`man; husband',*rəsənaw,ruseno `man'; seno `husband',*sənaw,sənaw,*sənaw,sənaw,sənaw
`many (people)',*həbaraw,hubaro,*həbaraw,həbaraw,*həbaraw,həbaraw,həbaraw
`many',*əgu,egu,*əgu,owu,*əgu,əgu,
